Year (พ.ศ.),Year (ค.ศ.),Month,No.,Chilled/Frozen Fresh Shrimp Quantity (Tons),Chilled/Frozen Fresh Shrimp Value (Million Baht),Dried Shrimp Quantity (Tons),Dried Shrimp Value (Million Baht),Boiled or Steamed Shrimp Quantity (Tons),Boiled or Steamed Shrimp Value (Million Baht),Shrimp in Airtight Containers Quantity (Tons),Shrimp in Airtight Containers Value (Million Baht),Preserved or Processed Shrimp Quantity (Tons),Preserved or Processed Shrimp Value (Million Baht),Shrimp Quantity (Tons),Shrimp Value (Million Baht),Chilled/Frozen Fresh Squid Quantity (Tons),Chilled/Frozen Fresh Squid Value (Million Baht),Dried Squid Quantity (Tons),Dried Squid Value (Million Baht),Processed or Preserved Squid Quantity (Tons),Processed or Preserved Squid Value (Million Baht),Smoked squid Quantity (Tons),Smoked squid Value (Million Baht),Squid Quantity (Tons),Squid Value (Million Baht),Chilled/Frozen Fresh Fish (including liver and roe) Quantity (Tons),Chilled/Frozen Fresh Fish (including liver and roe) Value (Million Baht),Chilled/Frozen Fish Fillets Quantity (Tons),Chilled/Frozen Fish Fillets Value (Million Baht),Dried Fish Quantity (Tons),Dried Fish Value (Million Baht),Live Fish and Fish Breeding Stock Quantity (Tons),Live Fish and Fish Breeding Stock Value (Million Baht),Fish Quantity (Tons),Fish Value (Million Baht),Canned Tuna Quantity (Tons),Canned Tuna Value (Million Baht),Canned Sardines Quantity (Tons),Canned Sardines Value (Million Baht),Other Canned Fish Quantity (Tons),Other Canned Fish Value (Million Baht),Canned Crab Quantity (Tons),Canned Crab Value (Million Baht),Other Canned Seafood Quantity (Tons),Other Canned Seafood Value (Million Baht),Canned Products Quantity (Tons),Canned Products Value (Million Baht),Canned Dog and Cat Food Quantity (Tons),Canned Dog and Cat Food Value (Million Baht),Processed Seafood Products Quantity (Tons),Processed Seafood Products Value (Million Baht),Processed Tuna Products Quantity (Tons),Processed Tuna Products Value (Million Baht),Preserved or Processed Crab Quantity (Tons),Preserved or Processed Crab Value (Million Baht),Other Processed Seafood Products Quantity (Tons),Other Processed Seafood Products Value (Million Baht),Other Fishery Products Quantity (Tons),Other Fishery Products Value (Million Baht),Grand Total Quantity (Tons),Grand Total Value (Million Baht),Price baht to usd
2550,2007,1,1,12141.5,2814.59,10.35,3.88,147.38,41.1,496.96,140.57,9348.95,2328.54,22145.14,5328.68,7386.58,1106.4,36.65,16.95,363.9,72.4,,,7787.12,1195.76,19064.75,428.97,9020.35,866.67,7109.68,238.29,476.65,81.58,35671.42,1615.5,34496.45,3241.92,2964.76,159.63,2694.66,238.43,367.33,109.45,3010.32,274.37,43533.51,4023.8,7867.26,577.29,7118.6,813.87,1834.45,231.17,535.47,128.19,17355.78,1750.52,13239.44,648.39,139732.41,14562.65,34.75
2550,2007,2,2,11736.38,2719.69,9.04,3.22,108.92,27.34,1995.87,422.75,7492.45,1963.49,21342.65,5136.5,6362.72,1842.42,98.47,21.67,511.9,94.36,,,6973.09,1958.45,18897.76,543.28,9003.14,915.88,6474.88,183.04,425.13,74.72,34800.91,1716.91,34925.5,3383.22,2146.27,113.36,2426.48,189.67,328.97,126.16,3079.64,290.41,42906.86,4102.82,6872.51,494.94,6862.88,748.21,1638.31,152.22,1105.36,218.06,16479.06,1613.42,16300.71,767.08,138803.28,15295.19,34.025
2550,2007,3,3,13649.2,3165.94,2.65,1.46,168.35,41.88,2119.86,402.38,8835.4,2282.73,24775.45,5894.39,8993.1,1447.28,181.46,42.39,416.91,69.25,,,9591.47,1558.93,31049.16,765.01,9523.54,983.7,7597.14,250.16,383.55,73.4,48553.38,2072.26,39740.51,3800.88,3338.28,195.56,2528.25,242.62,444.4,172.33,4197.03,439.55,50248.47,4850.95,7409.54,516.18,8003.56,1137.62,2856.85,287.71,1492.3,257.97,19762.25,2199.48,27202.7,1235.33,180133.73,17811.33,32.325
2550,2007,4,4,11357.38,2502.17,12.92,3.45,118.88,30.3,1631.22,349.46,6160.63,1564.43,19281.02,4449.8,7390.52,1139.41,213.71,52.37,310.95,57.72,,,7915.17,1249.49,24824.28,689.17,7949.19,832.5,5677.12,207.82,357.58,73.94,38808.16,1803.44,35382.39,3333.31,2242.11,134.76,3530.12,303.91,573.54,181.17,3463.69,387.53,45191.84,4340.68,5489.78,369.47,6000.36,694.59,2565.35,228.49,853.08,161.39,14908.57,1453.93,24279.39,1072.4,150384.15,14369.74,32.85
2550,2007,5,5,15300.42,3350.09,7.46,2.91,91.54,18.85,1208.23,267.38,7664.52,1874.73,24272.16,5513.95,8140.91,1245.57,283.12,61.97,403.44,77.81,,,8827.47,1385.35,28664.16,688.73,8702.74,922.64,4142.69,155.54,428.18,72.35,41937.76,1839.26,42214.44,3962.26,3098.82,169.26,5997.06,533.9,554.61,153.83,4240.63,451.07,56105.56,5270.31,6360.91,428.53,6490.53,730.79,3392.78,332.38,751.83,206.93,16996.06,1698.63,34235.45,1340.37,182374.46,17047.87,32.9
2550,2007,6,6,19462.84,4045.96,9.9,2.56,113.01,20.95,1663.52,379.91,9038.48,2153.24,30287.74,6602.62,9512.8,1415.8,93.59,32.66,409.28,77.02,,,10015.68,1525.47,28715.46,608.38,8802.84,835.45,5322.85,197.88,331.95,74.46,43173.09,1716.16,34393.75,3358.44,4027.32,221.92,3923.22,321.06,413.44,143.55,3717.72,346.98,46475.44,4391.95,7164.82,498.46,6384.49,701.48,1133.13,87.83,1409.3,310.7,16091.74,1598.47,22323.72,982.9,168367.4,16817.58,31.7
2550,2007,7,7,21653.59,4474.29,3.4,0.61,34.08,12.99,2776.59,634.03,10750.27,2602.47,35217.92,7724.39,6609.19,1009.06,44.76,17.39,172.38,34.95,,,6826.33,1061.4,24866.9,560.65,9375.19,904.55,5665.09,181.71,311.3,71.91,40218.48,1718.81,29378.03,2943.39,3042.58,171.28,3587.98,303.82,329.89,113.64,3892.19,310.66,40230.67,3842.8,6572.98,491.86,5450.87,583.88,925.29,124.33,403.47,163.69,13352.6,1363.76,16995.84,800.33,152841.85,16511.49,29.95
2550,2007,8,8,22201.86,4603.9,9.62,2.67,168.49,40.2,3025.32,702.66,13974.98,3338.51,39380.27,8687.93,7040.15,1053.46,25.31,12.45,183.63,41.62,,,7249.09,1107.53,24201.85,559.84,11546.57,1076.59,6657.6,218.53,313.56,63.63,42719.58,1918.6,35860.63,3626.45,4213.53,224.43,3399.09,311.68,363.45,125.16,4263.41,348.09,48100.1,4635.81,6432.76,457.39,6394.31,730.35,922.0,125.18,230.97,125.24,13980.04,1438.16,18459.73,843.66,169888.81,18631.69,32.535
2550,2007,9,9,19646.25,4325.86,8.51,2.58,55.08,16.94,3182.33,711.18,14433.05,3708.84,37325.21,8765.41,6312.31,1022.49,65.04,28.28,155.54,43.62,,,6532.88,1094.39,22727.79,576.52,9802.2,990.23,5398.8,159.31,398.31,71.1,38327.09,1797.16,35850.48,3864.03,4963.52,270.71,3660.41,307.94,359.26,158.55,4143.61,369.8,48977.27,4971.03,7195.87,516.09,6592.17,710.43,142.33,25.04,306.81,159.04,14237.18,1410.6,18162.26,692.12,163561.9,18730.71,31.9
2550,2007,10,10,18040.63,3922.19,12.15,3.73,55.57,17.57,3056.82,715.16,15386.03,3932.31,36551.19,8590.96,7482.44,1122.56,39.94,25.1,286.45,68.97,,,7808.83,1216.63,27153.56,664.13,11392.44,1022.23,6069.57,206.81,331.31,65.65,44946.88,1958.82,38691.89,4275.62,6116.06,354.38,3207.09,312.06,380.09,130.0,4309.29,351.14,52704.42,5423.2,8236.1,585.37,6502.71,748.05,449.9,70.39,243.72,117.06,15432.44,1520.87,15648.13,809.03,173091.89,19519.5,31.675
