Année,Total,Pêche - Total,Pêche - Maritime,Pêche - Eau douce,Aquaculture - Total,Aquaculture - Côtière,Aquaculture - Eau douce
2557,145415,62404,52243,10161,83011,58214,24797
2558,149746,61225,50900,10325,88521,54630,23891
2559,153338,66411,55787,10624,86927,63557,23370
2560,159841,68495,58222,10273,91346,69353,21993
2561,166775,70818,62001,8817,95957,71914,26043
2562,172294,73133,66119,7014,99151,73190,25961
2563,167218,71067,63403,7664,96151,68590,27561
2564,166821,70911,63570,7341,95910,68240,27670
2565,176382,73268,66266,7002,103114,74597,28517
2566,176035,71381,63653,7728,104654,76926,27728
2567*,179294,79519,72347,7172,99775,71485,28290
2568*,177838,78047,70946,7101,99791,70938,28853
2569*,181587,81472,74462,7010,100115,70970,29145
2570*,184774,83957,77165,6792,100817,71375,29442
