LOC,NAME,CODETX,SER,KV,MVA,YEAR_Energized,Sample Day,Tested Day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TEMP,NB
AP,KT1AB,APKT1AB,28122,230/115/11,200,1989.0,2022-07-01,2022-07-02,12619,54242,2059,319.0,16642,2500.0,15771,2449,121.0,339.0,0.0,69.0,
AP,KT1AC,APKT1AC,28122,230/115/11,200,1989.0,2022-07-01,2022-07-02,11023,51864,2202,298.0,14849,2701.0,17723,2753,144.0,384.0,0.0,69.0,
AP,KT2AA,APKT2AA,89900048,230/115/11,200,2005.0,2023-10-30,2023-11-25,19360,26060,24879,481.0,2366,6221.0,3310,42975,8075.0,5418.0,23722.0,,
AP,KT2AA,APKT2AA,89900048,230/115/11,200,2005.0,2024-01-21,2024-01-22,16672,41496,1487,267.0,20960,7873.0,21729,27767,5471.0,3928.0,143.0,,
AP,KT2AA,APKT2AA,89900048,230/115/11,200,2005.0,2024-06-10,2024-06-20,15000,35920,328,159.0,21554,3292.0,15818,3402,226.0,865.0,31.0,60.0,After Overhaul 3 Month
AP,KT2AB,APKT2AB,89900048,230/115/11,200,2005.0,2024-01-21,2024-01-22,11542,29027,1517,261.0,34304,12070.0,20281,45669,8550.0,6061.0,174.0,,
AP,KT2AB,APKT2AB,89900048,230/115/11,200,2005.0,2023-10-30,2023-11-25,31120,32330,1387,293.0,7316,4969.0,1978,34456,6630.0,4294.0,137.0,,
AP,KT2AB,APKT2AB,89900048,230/115/11,200,2005.0,2024-06-10,2024-06-20,12660,34650,289,159.0,26971,3216.0,14140,3426,298.0,642.0,26.0,60.0,After Overhaul 3 Month
AP,KT2AC,APKT2AC,89900048,230/115/11,200,2005.0,2023-10-30,2023-11-25,28430,31270,22136,543.0,7193,5087.0,3320,38327,7631.0,5562.0,192.0,,
AP,KT2AC,APKT2AC,89900048,230/115/11,200,2005.0,2024-06-10,2024-06-20,13760,35460,283,148.0,28683,3205.0,14858,3349,258.0,1261.0,25.0,60.0,After Overhaul 3 Month
AP,KT2AC,APKT2AC,89900048,230/115/11,200,2005.0,2024-01-21,2024-01-22,14776,26338,1206,205.0,35593,13007.0,18753,53452,10757.0,7300.0,176.0,,
AP,KT4A,APKT4A,573078,115/22,40,2007.0,2024-05-24,2024-05-26,14000,30520,2422,207.0,12753,5058.0,39681,7479,584.0,3166.0,109.0,37.0,Before Overhaul OLTC
AP,KT5A,APKT5A,145496,115/22,13,2007.0,2023-08-26,2023-09-12,44940,53820,93,258.0,7174,719.0,2074,797,70.0,300.0,8.0,50.0,
AT1,KT10AA,AT1KT10AA,91900008,220/115/22,200,2005.0,2023-11-16,2024-01-21,16240,34580,123,81.0,12734,8757.0,3316,15937,8553.0,2488.0,206.0,59.0,COUNTER 70774
AT1,KT10AB,AT1KT10AB,91900008,220/115/22,200,2005.0,2023-11-16,2024-01-21,17120,38390,137,88.0,13085,8168.0,5074,13649,7298.0,2630.0,204.0,59.0,COUNTER 70774
AT1,KT10AC,AT1KT10AC,91900008,220/115/22,200,2005.0,2023-11-16,2024-01-21,33160,44200,182,51.0,3401,6038.0,5284,11252,6206.0,3710.0,187.0,59.0,COUNTER 70774
AT1,KT7AA,AT1KT7AA,S251385,220/115/22,200,1993.0,2023-11-16,2024-01-22,42560,55450,1800,241.0,4808,1449.0,11200,2267,141.0,875.0,29.0,56.0,COUNTER 107673
AT1,KT7AB,AT1KT7AB,S251385,220/115/22,200,1993.0,2023-11-16,2024-01-21,26730,47370,2058,324.0,9818,2118.0,11687,3263,230.0,1461.0,36.0,56.0,
AT1,KT7AC,AT1KT7AC,S251385,220/115/22,200,1993.0,2023-11-16,2024-01-22,19450,52720,3382,318.0,11750,2023.0,10255,3719,263.0,746.0,27.0,56.0,
AT2,KT3AA,AT2KT3AA,5BK012301,220/115/22,200,2003.0,2023-11-10,2023-11-26,28430,31270,22136,543.0,7193,5087.0,3320,38327,7631.0,5562.0,192.0,,
AT2,KT3AA,AT2KT3AA,5BK012301,220/115/22,200,2003.0,2023-11-16,2024-01-22,13620,39620,196,30.0,512,182.0,410,469,65.0,39.0,1.0,62.0,
AT2,KT3AB,AT2KT3AB,5BK012301,220/115/22,200,2003.0,2023-11-16,2024-01-22,13440,24010,199,18.0,85,37.0,82,286,70.0,81.0,3.0,60.0,
AT2,KT3AB,AT2KT3AB,5BK012301,220/115/22,200,2003.0,2023-11-10,2023-11-26,19360,26060,24879,481.0,2366,6221.0,4200,42975,8075.0,5418.0,23722.0,,
AT2,KT3AC,AT2KT3AC,5BK012301,220/115/22,200,2003.0,2023-11-10,2023-11-26,31120,32330,1387,293.0,7316,4969.0,1978,34556,6630.0,4294.0,137.0,,
