LOC,NAME,CODETX,MFG,SER,KV,MVA,Year Test,Sample Day,Tested day,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,NB
AN,KT1A,ANKT1A,ABB,52013,115/22,50,2007.0,2020-05-25,2020-05-30,5405,55119,1851.0,202.0,10.0,16.0,0.0,2.0,1.0,2.0,1.0,234.0,47,10,
AN,KT1A,ANKT1A,ABB,52013,115/22,50,2007.0,2021-02-26,2021-05-20,16174,64807,684.0,121.0,14.0,10.0,0.0,2.0,2.0,2.0,1.0,152.0,46,38,
AN,KT1A,ANKT1A,ABB,52013,115/22,50,2007.0,2022-02-04,2022-02-19,10316,46537,1196.0,163.0,9.0,9.0,0.0,2.0,2.0,1.0,2.0,184.0,48,17,-
AN,KT1A,ANKT1A,ABB,52013,115/22,50,2007.0,2022-02-04,2022-02-19,6284,44223,2112.0,144.0,21.0,15.0,0.0,0.0,2.0,0.0,2.0,184.0,39,18,
AN,KT1A,ANKT1A,ABB,52013,115/22,50,2007.0,2023-02-03,2023-02-18,10547,46745,2075.0,243.0,13.0,15.0,0.0,3.0,3.0,3.0,2.0,282.0,45,6,
AN,KT1A,ANKT1A,ABB,52013,115/22,50,2007.0,2024-02-02,2024-03-08,5642,30749,2084.0,200.0,16.0,10.0,0.0,15.0,3.0,14.0,2.0,260.0,49,11,
AN,KT2A,ANKT2A,DAIHEN,EDP011904,115/22/11,50,2013.0,2020-02-28,2020-04-04,11354,68371,1004.0,617.0,27.0,4.0,0.0,2.0,2.0,0.0,3.0,655.0,49,15,
AN,KT2A,ANKT2A,DAIHEN,EDP011904,115/22/11,50,2013.0,2021-02-26,2021-05-21,14386,65964,854.0,544.0,42.0,7.0,0.0,8.0,2.0,6.0,3.0,612.0,50,29,
AN,KT2A,ANKT2A,DAIHEN,EDP011904,115/22/11,50,2013.0,2022-02-04,2022-02-18,10351,35195,755.0,158.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,735.0,49,26,-
AN,KT2A,ANKT2A,DAIHEN,EDP011904,115/22/11,50,2013.0,2022-02-04,2022-02-18,11005,70904,1439.0,684.0,40.0,3.0,0.0,2.0,1.0,3.0,2.0,735.0,43,16,
AN,KT2A,ANKT2A,DAIHEN,EDP011904,115/22/11,50,2013.0,2023-02-03,2023-02-16,10570,56560,1642.0,592.0,14.0,3.0,0.0,5.0,1.0,28.0,3.0,646.0,46,6,
AN,KT2A,ANKT2A,DAIHEN,EDP011904,115/22/11,50,2013.0,2024-02-02,2024-03-08,19766,47492,1625.0,641.0,17.0,8.0,0.0,12.0,2.0,4.0,5.0,689.0,50,10,
AP,KT1A,APKT1A,ASEA,28122,230/115/11,200,1989.0,2019-11-17,2019-12-14,16223,66531,3015.0,400.0,26.0,48.0,0.0,17.0,10.0,25.0,0.0,526.0,60,15,-
AP,KT1A,APKT1A,ASEA,28122,230/115/11,200,1989.0,2020-06-19,2020-07-05,7629,74966,4752.0,725.0,9.0,71.0,0.0,47.0,15.0,26.0,6.0,899.0,57,21,
