Tr.,MFG,KV,MVA,Age,Year Test,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,Unnamed: 20,Unnamed: 21
1.0,ABB,115/22,50,17,2020.0,5405,55119,1851.0,202.0,10.0,16,20.0,2.0,1.0,2.0,1.0,234.0,47,10,,
1.0,ABB,115/22,50,17,2021.0,16174,64807,684.0,121.0,14.0,10,20.0,2.0,2.0,2.0,1.0,152.0,46,38,,
1.0,ABB,115/22,50,17,2022.0,10316,46537,1196.0,163.0,9.0,9,20.0,2.0,2.0,1.0,2.0,184.0,48,17,,
1.0,ABB,115/22,50,17,2023.0,10547,46745,2075.0,243.0,13.0,15,20.0,3.0,3.0,3.0,2.0,282.0,45,6,,
1.0,ABB,115/22,50,17,2024.0,5642,30749,2084.0,200.0,16.0,10,20.0,15.0,3.0,14.0,2.0,260.0,49,11,,
2.0,DAIHEN,115/22,50,11,2020.0,11354,68371,1004.0,617.0,27.0,4,20.0,2.0,2.0,25.0,3.0,655.0,49,15,,
2.0,DAIHEN,115/22,50,11,2021.0,14386,65964,854.0,544.0,42.0,7,20.0,8.0,2.0,6.0,3.0,612.0,50,29,,
2.0,DAIHEN,115/22,50,11,2022.0,10351,35195,755.0,158.0,4.0,2,20.0,2.0,55.0,2.0,37.0,735.0,49,26,,
2.0,DAIHEN,115/22,50,11,2023.0,10570,56560,1642.0,592.0,14.0,3,20.0,5.0,1.0,28.0,3.0,646.0,46,6,,
2.0,DAIHEN,115/22,50,11,2024.0,19766,47492,1625.0,641.0,17.0,8,20.0,12.0,2.0,4.0,5.0,689.0,50,10,,
3.0,MEIDENSHA,115/22,50,12,2019.0,10461,41192,2800.0,875.0,7.0,60,20.0,4.0,15.0,25.0,37.0,901.0,60,12,,
3.0,MEIDENSHA,115/22,50,12,2020.0,12241,76965,1426.0,731.0,63.0,7,20.0,5.0,2.0,1.0,1.0,810.0,36,12,,
3.0,MEIDENSHA,115/22,50,12,2021.0,11517,55087,1265.0,652.0,32.0,2,20.0,1.0,1.0,25.0,1.0,689.0,36,14,,
3.0,MEIDENSHA,115/22,50,12,2022.0,18452,68867,1514.0,686.0,1.0,3,20.0,2.0,1.0,25.0,2.0,695.0,60,9,,
3.0,MEIDENSHA,115/22,50,12,2023.0,18816,84032,2084.0,715.0,45.0,9,20.0,35.0,2.0,25.0,2.0,728.0,57,7,,
3.0,MEIDENSHA,115/22,50,12,2024.0,13561,82156,3385.0,1334.0,4.0,13,20.0,43.0,14.0,3.0,5.0,1416.0,53,9,,
4.0,MEIDENSHA,115/22,50,12,2019.0,10848,51862,2958.0,1068.0,8.0,2,20.0,4.0,55.0,25.0,37.0,1082.0,55,15,,
4.0,MEIDENSHA,115/22,50,12,2020.0,13054,71682,1277.0,715.0,36.0,5,20.0,5.0,2.0,2.0,4.0,769.0,54,12,,
4.0,MEIDENSHA,115/22,50,12,2021.0,10285,56741,1275.0,649.0,42.0,1,20.0,1.0,1.0,25.0,3.0,697.0,36,18,,
4.0,MEIDENSHA,115/22,50,12,2022.0,19258,76153,1871.0,752.0,1.0,14,20.0,15.0,2.0,25.0,5.0,789.0,61,11,,
4.0,MEIDENSHA,115/22,50,12,2023.0,10601,77523,2230.0,771.0,3.0,7,20.0,7.0,2.0,25.0,5.0,795.0,59,7,,
4.0,MEIDENSHA,115/22,50,12,2024.0,14828,80302,3746.0,1575.0,3.0,13,20.0,49.0,19.0,3.0,10.0,1672.0,52,9,,
5.0,ABB,115/22,50,13,2021.0,22472,63915,1003.0,282.0,17.0,1,20.0,35.0,55.0,25.0,37.0,300.0,46,9,,
5.0,ABB,115/22,50,13,2022.0,13322,70115,1274.0,436.0,5.0,5,20.0,1.0,55.0,2.0,37.0,449.0,35,13,,
5.0,ABB,115/22,50,13,2023.0,20020,58380,950.0,160.0,31.0,60,20.0,35.0,1.0,4.0,37.0,196.0,48,14,,
5.0,ABB,115/22,50,13,2024.0,25570,68190,2341.0,279.0,5.0,2,20.0,35.0,55.0,2.0,37.0,288.0,49,9,,
6.0,MITSUBISHI,115/22,50,25,2021.0,11532,53926,2020.0,70.0,29.0,59,20.0,35.0,219.0,25.0,148.0,525.0,62,20,,
