year,month,heading11,countryID,countryNameTH,weight,quantity,price,tradeflow,productDetailEN,productDetailTH,ETL_DATE
2567,7,1062000002,KE,เคนยา,35,150,44280,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,7,1062000002,EG,อียิปต์,550,50,144143,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,7,1062000002,SC,เซเชลส์,120,50,108301,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,8,1062000002,US,สหรัฐอเมริกา,18,4,9560,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,8,1062000002,KE,เคนยา,50,200,81694,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,8,1062000002,ZM,แซมเบีย,86,195,240273,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,8,1062000002,EG,อียิปต์,550,100,255405,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,8,1062000002,ET,เอธิโอเปีย,165,22,173461,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,8,1062000002,SC,เซเชลส์,60,50,83237,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,9,1062000002,BJ,เบนิน,8,30,8550,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,9,1062000002,US,สหรัฐอเมริกา,35,7,58077,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,9,1062000002,VE,เวเนซูเอร่า,10,105,45581,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,9,1062000002,KE,เคนยา,35,220,60962,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,9,1062000002,EG,อียิปต์,2015,240,615854,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,1,1062000002,SI,สโลเวเนีย,2,100,44019,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,1,1062000002,SV,เอซาวาดอร์,6,7,16453,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,1,1062000002,EG,อียิปต์,2495,310,746536,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,1,1062000002,SC,เซเชลส์,10,50,79489,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,2,1062000002,CZ,เช็ก,6,100,26021,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,2,1062000002,SC,เซเชลส์,20,54,87895,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,3,1062000002,VE,เวเนซูเอร่า,5,100,30877,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,3,1062000002,KE,เคนยา,15,150,54251,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,3,1062000002,EG,อียิปต์,3029,327,1031485,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,3,1062000002,SR,Suriname,70,109,88140,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,3,1062000002,ZM,แซมเบีย,65,350,129544,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,3,1062000002,MU,มอริเชียส,20,90,84451,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,4,1062000002,EG,อียิปต์,2862,385,1097048,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,4,1062000002,MU,มอริเชียส,10,50,49943,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,5,1062000002,KE,เคนยา,116,650,192110,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,5,1062000002,EG,อียิปต์,3116,330,754752,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,5,1062000002,SC,เซเชลส์,60,30,82873,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,6,1062000002,EG,อียิปต์,2275,520,858224,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,6,1062000002,ZM,แซมเบีย,65,450,173278,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,6,1062000002,MU,มอริเชียส,10,50,49901,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,10,1062000002,US,สหรัฐอเมริกา,40,55,100764,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,10,1062000002,QA,กาตาร์,0,20,1302,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,10,1062000002,ZM,แซมเบีย,65,450,159985,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,10,1062000002,MU,มอริเชียส,20,100,91747,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,10,1062000002,EG,อียิปต์,650,80,191466,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,10,1062000002,SC,เซเชลส์,408,90,374082,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,11,1062000002,KE,เคนยา,40,150,56247,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,11,1062000002,BR,บราซิล,18,140,44739,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,11,1062000002,EG,อียิปต์,550,100,238024,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,11,1062000002,SC,เซเชลส์,500,47,277199,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,12,1062000002,KE,เคนยา,105,427,148890,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,12,1062000002,ZM,แซมเบีย,65,450,162559,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,12,1062000002,ET,เอธิโอเปีย,135,20,170858,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,12,1062000002,SC,เซเชลส์,240,75,184418,1,Turtles and snapping turtles live,เต่าและตะพาบน้ำมีชีวิต,13/05/2025 06:00
2567,1,1069000001,PE,เปรู,2,23,6066,1,Frog live for consumption breeding,กบมีชีวิตสำหรับบริโภคและทำพันธุ์,13/05/2025 06:00
2567,5,1069000001,KH,กัมพูชา,30,210,2400,1,Frog live for consumption breeding,กบมีชีวิตสำหรับบริโภคและทำพันธุ์,13/05/2025 06:00
2567,12,1069000001,KH,กัมพูชา,30,600,1650,1,Frog live for consumption breeding,กบมีชีวิตสำหรับบริโภคและทำพันธุ์,13/05/2025 06:00
2567,5,2089010000,JP,ญี่ปุ่น,18,1,40295,1,--Frogs' legs,ขากบสด แช่เย็น หรือแช่แข็ง,13/05/2025 06:00
2567,5,2109300000,PK,ปากีสถาน,1400,1400,104765,1,(blank),เนื้อและส่วนอื่นที่บริโภคได้ของสัตว์เลื้อยคลานอื่นๆใส่เกลือ แช่น้ำเกลือ,13/05/2025 06:00
2567,8,3011191000,JP,ญี่ปุ่น,200,6015,37149,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,9,3011191000,JP,ญี่ปุ่น,175,3500,120258,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,1,3011191000,JP,ญี่ปุ่น,1321,8263,833364,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,2,3011191000,CN,จีน,60,208,28512,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,2,3011191000,JP,ญี่ปุ่น,2605,4163,4213106,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,3,3011191000,JP,ญี่ปุ่น,1091,3883,740880,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,4,3011191000,JP,ญี่ปุ่น,673,1140,200338,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,5,3011191000,CN,จีน,85,288,31740,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,5,3011191000,JP,ญี่ปุ่น,864,963,1321513,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,6,3011191000,JP,ญี่ปุ่น,390,312,170186,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,10,3011191000,JP,ญี่ปุ่น,800,8812,224362,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,11,3011191000,JP,ญี่ปุ่น,2429,4314,1423395,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,12,3011191000,JP,ญี่ปุ่น,3978,11819,986633,1,#NAME?,ปลาคาร์ป สวยงามมีชีวิต (แฟนซีคาร์ป) (ไซพรีนสคาร์ปิโอ),13/05/2025 06:00
2567,7,3011192000,PH,ฟิลิปปินส์,2,10,1206,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,7,3011192000,ID,อินโดนีเซีย,5,29,6972,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,7,3011192000,JP,ญี่ปุ่น,4,95,22087,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,8,3011192000,ID,อินโดนีเซีย,5,21,4377,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,8,3011192000,CN,จีน,3,1210,51958,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,8,3011192000,JP,ญี่ปุ่น,2,70,15036,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,9,3011192000,CN,จีน,38,962,83322,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,9,3011192000,ID,อินโดนีเซีย,250,473,126986,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,9,3011192000,JP,ญี่ปุ่น,5,53,20149,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,1,3011192000,ID,อินโดนีเซีย,10,40,11255,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
2567,1,3011192000,CN,จีน,76,835,72421,1,#NAME?,ปลาทองสวยงามมีชีวิต (คารัสเซียสออราทัส),13/05/2025 06:00
